price;model_year;km;reg;fuel_type;fuel_economy;horse_power;gear_type;zip_code
338.800 kr.;2021;26800;2021-06-24;El;77.8;325;A;2670
447.000 kr.;2021;50000;2021-03-19;El;66.9;513;A;7000
338.900 kr.;2021;19000;2021-08-24;El;77.8;283;A;7200
417.500 kr.;2022;16500;2021-12-01;El;75.1;498;A;8361
309.900 kr.;2019;51000;2019-09-02;El;74.1;306;A;8700
419.980 kr.;2021;51000;2021-02-16;El;75.1;498;A;2860
359.800 kr.;2022;7200;2022-04-01;El;76.7;325;A;6705
342.000 kr.;2021;52000;2021-03-16;El;77.8;283;A;7000
423.000 kr.;2022;13000;2022-03-01;El;75.1;498;A;5853
319.600 kr.;2021;38000;2021-03-29;El;77.8;283;A;5260
433.898 kr.;2021;30500;2021-06-08;El;75.1;498;A;6740
325.000 kr.;2021;16800;2021-01-01;El;77.8;283;A;5700
397.000 kr.;2020;29000;2020-09-24;El;66.5;513;A;7000
359.700 kr.;2022;11000;2021-12-08;El;76.7;325;A;4700
449.900 kr.;2022;8000;2022-02-02;El;66.9;513;A;5250
409.900 kr.;2022;9800;2022-02-04;El;75.1;498;A;8800
390.000 kr.;2020;62000;2020-09-01;El;66.5;513;A;8960
399.900 kr.;2020;37500;2020-02-12;El;69;491;A;7500
409.800 kr.;2022;18000;2021-12-06;El;75.1;498;A;4700
349.000 kr.;2019;74000;2019-03-27;El;69;491;A;7400
422.222 kr.;2021;22000;2021-09-27;El;75.1;498;A;6740
306.999 kr.;2021;17000;2021-09-01;El;77.8;325;A;2680
438.783 kr.;2021;18500;2021-09-15;El;66.9;513;A;6740
398.000 kr.;2021;18000;2021-06-01;El;75.1;495;A;2100
369.900 kr.;2021;44000;2021-09-17;El;75.1;498;A;8600
319.900 kr.;2020;61000;2020-08-25;El;69;498;A;2610
399.900 kr.;2020;29000;2020-05-04;El;69;498;A;8600
324.900 kr.;2020;93000;2019-12-19;El;69;442;A;7120
388.900 kr.;2021;86000;2020-12-10;El;75.1;476;A;2670
504.080 kr.;2022;6957;2022-03-31;El;75.1;498;A;2670
378.000 kr.;2020;58000;2020-10-01;El;69;491;A;3000
379.900 kr.;2020;30000;2020-02-18;El;75.1;476;A;8660
424.900 kr.;2021;24000;2021-08-20;El;66.9;513;A;7400
299.999 kr.;2019;117000;2019-06-01;El;69;491;A;6000
359.800 kr.;2021;44000;2021-05-27;El;77.8;325;A;2625
409.800 kr.;2021;8000;2021-11-18;El;75.1;498;A;3520
377.700 kr.;2022;14400;2022-03-16;El;74.1;283;A;9000
389.900 kr.;2021;34000;2021-09-01;El;66.9;513;A;2791
349.895 kr.;2019;53000;2019-03-05;El;69;462;A;3650
379.900 kr.;2021;55000;2020-12-16;El;75.1;476;A;7000
378.800 kr.;2021;24500;2021-03-24;El;77.8;325;A;2670
359.800 kr.;2022;23000;2022-02-24;El;74.1;283;A;8653
324.900 kr.;2021;23000;2021-06-03;El;77.8;325;A;2610
419.800 kr.;2021;15000;2021-11-30;El;75.1;498;A;6400
379.800 kr.;2019;57500;2019-06-21;El;69;462;A;4200
324.500 kr.;2021;33000;2021-02-25;El;77.8;283;A;7200
339.800 kr.;2022;16000;2022-03-01;El;74.1;283;A;8600
369.900 kr.;2021;39500;2021-05-19;El;77.8;325;A;8260
419.800 kr.;2021;19000;2021-11-16;El;75.1;476;A;8700
345.000 kr.;2022;18000;2022-03-01;El;76.7;325;A;8960
335.000 kr.;2021;11000;2021-10-01;El;77.8;325;A;9530
419.800 kr.;2022;19400;2022-03-07;El;75.1;498;A;4700
339.700 kr.;2022;12000;2022-02-01;El;74.1;283;A;6400
429.800 kr.;2021;13600;2021-12-20;El;75.1;498;A;4700
325.000 kr.;2019;80000;2019-09-25;El;69;491;A;6740
399.800 kr.;2021;25883;2021-03-29;El;75.1;498;A;9500
314.900 kr.;2019;71000;2019-09-26;El;69;476;A;2610
